mangaid,objra,objdec,z,emline_sflux_cen_oiii_5008,emline_sflux_1re_oiii_5008,emline_sflux_tot_oiii_5008,emline_sflux_cen_nii_6549,emline_sflux_1re_nii_6549,emline_sflux_tot_nii_6549,emline_sflux_cen_sii_6718,emline_sflux_1re_sii_6718,emline_sflux_tot_sii_6718,emline_sflux_cen_sii_6732,emline_sflux_1re_sii_6732,emline_sflux_tot_sii_6732,emline_sflux_cen_oi_6302,emline_sflux_1re_oi_6302,emline_sflux_tot_oi_6302,emline_sflux_cen_ha_6564,emline_sflux_1re_ha_6564,emline_sflux_tot_ha_6564,emline_sflux_cen_hb_4862,emline_sflux_1re_hb_4862,emline_sflux_tot_hb_4862,emline_sflux_cen_hdel_4102,emline_sflux_1re_hdel_4102,emline_sflux_tot_hdel_4102
1-455918,192.654357910156,27.4829978942871,0.0221399,6.520014,20.13846,36.82626,3.049005,7.504929,11.91825,-4.406168,0.9809485,1.995358,1.038118,2.974159,-10.53897,-5.196266,5.477949,16.56885,4.063156,3.842598,0.7775307,0.7469068,0.4946854,-13.07153,-3.29951,-16.6028,-7.019696
1-455918,192.654357910156,27.4829978942871,0.0221399,6.399852,18.81824,20.63838,3.09305,7.684084,8.296356,-4.322361,1.106217,0.8825257,0.9049821,2.394459,1.506439,-5.3353,5.136851,6.4228,3.911727,4.250227,4.284314,0.5801445,0.7683036,-0.7223676,-3.325402,-16.23587,-16.4643
1-456704,194.513214111328,26.9159832000732,0.0273798,15.48774,25.87676,31.9577,-4.299111,-0.9741802,3.489409,-368.2084,-443.2514,-446.007,-279.1395,-339.4444,-340.3559,30.2836,19.84841,9.837727,-0.9107469,12.04379,20.04521,-19.08787,-43.09593,-49.44093,-5.11378,-5.734324,-5.366424
1-456704,194.513214111328,26.9159832000732,0.0273798,15.48061,27.37219,32.20073,-4.352457,-2.994269,0.9412456,-368.3826,-441.1004,-446.5485,-279.1788,-339.1407,-340.8496,30.31061,16.44809,8.521477,-0.9365325,11.79539,16.22272,-19.2193,-43.39241,-48.12493,-5.072274,-5.838084,-2.24172
1-456418,193.171173095703,26.3658218383789,0.0204708,2.990622,15.44394,28.34226,-2.41498,6.167253,-0.135244,4.441603,4.519628,7.78985,3.453233,4.817901,-11.75411,8.548203,4.570364,-17.95168,-2.428514,7.849329,9.780708,0.9175962,-0.2135739,2.701383,-7.874266,-24.86157,-40.96639
1-456418,193.171173095703,26.3658218383789,0.0204708,3.386894,15.5316,20.52024,-2.870867,5.669296,4.653105,2.935877,2.35553,-0.01680918,3.050514,5.123709,0.163071,7.618166,3.122023,-0.751819,-3.345363,5.470794,6.524684,0.9688634,0.04084714,6.623837,-7.719151,-24.65463,-32.58944
1-455924,192.932434082031,27.9628219604492,0.0230878,41.61792,186.9502,294.0922,27.98462,121.4103,225.225,20.48136,125.6328,272.103,19.12009,82.97986,148.3229,7.089853,38.08428,14.15756,41.75688,308.7063,802.5166,5.085948,70.87473,293.5031,-11.92823,-38.49213,-42.04528
1-455924,192.932434082031,27.9628219604492,0.0230878,41.61801,186.3615,214.7108,27.98465,120.8344,151.4915,20.47998,124.7135,165.6587,19.12041,82.46443,103.1752,7.089437,37.63658,37.52022,41.75315,306.3011,450.366,5.085864,70.11638,126.9012,-11.92776,-38.48526,-36.02419
1-456518,194.405029296875,28.0403881072998,0.0214492,0.1151887,4.311617,4.311617,-0.2651377,-1.928062,-1.928062,0.6211233,-1.802121,-1.802121,1.400888,4.71182,4.71182,-1.318274,-20.70448,-20.70448,-0.7559747,-10.34917,-10.34917,0.2314825,39.06281,39.06281,-2.619232,-30.06114,-30.06114
1-456518,194.405029296875,28.0403881072998,0.0214492,-0.04143794,0.1584961,0.1584961,-0.139832,-0.1105083,-0.1105083,0.3664504,0.3172133,0.3172133,0.7632828,0.6598648,0.6598648,-0.5939702,-1.408467,-1.408467,-0.2650759,-0.5254727,-0.5254727,0.1058043,0.5273789,0.5273789,-0.8857207,-1.683364,-1.683364
1-456632,195.0224609375,28.0244369506836,0.0196911,1.107286,15.76727,39.15501,-0.6060077,1.347829,-3.151163,2.302894,1.788171,-13.19081,-0.4173313,-4.500714,-11.31096,0.5188005,-10.58271,0.2594564,-0.08514828,11.54039,29.20997,1.277633,6.700715,2.344834,-1.918767,-14.85779,-2.572466
1-456632,195.0224609375,28.0244369506836,0.0196911,0.9026258,15.40586,16.7538,-0.5500963,2.210591,1.738858,2.330845,2.121337,1.538195,-0.3427832,-3.656339,-3.897551,2.277592,-7.259938,-6.933391,-0.6112217,9.889688,10.72916,1.278665,7.774552,7.42091,-1.753055,-16.10997,-14.96915
1-623756,195.288482666016,27.8183078765869,0.019749,3.910042,31.40345,42.19444,4.307549,7.467001,8.150167,-1.027316,-6.956994,12.71148,2.311393,-5.037898,-10.48246,-3.887779,-19.14543,-24.76544,6.46085,28.29572,21.80923,3.890387,37.48975,69.35104,-0.5310421,-23.675,-42.04
1-623756,195.288482666016,27.8183078765869,0.019749,5.780711,28.71235,29.10834,3.269851,5.5779,5.879328,-2.83656,-8.754025,-8.102172,-1.916225,-11.34663,-11.1867,-4.464543,-17.86508,-18.09142,6.511903,24.68435,24.34663,5.50798,34.58389,36.15084,-3.988805,-23.78324,-24.40866
1-455654,192.937393188477,27.0183181762695,0.0213466,41.70033,327.6391,585.8934,42.71139,230.4026,358.312,83.75565,477.6939,784.0711,57.21782,324.9186,520.4728,11.90625,71.86903,140.8034,422.467,2354.313,3565.122,104.0833,614.4461,988.5011,19.99276,132.4076,212.2596
1-455654,192.937393188477,27.0183181762695,0.0213466,41.70032,326.9461,445.9421,42.7114,229.9767,290.9008,83.75566,476.3793,618.1487,57.21778,323.9469,419.9619,11.90626,71.552,101.4956,422.4674,2349.304,2963.708,104.083,613.0501,794.9393,19.99511,131.9855,168.5195
1-456471,193.474716186523,28.1866207122803,0.0256367,9.565894,85.61486,151.3219,27.41188,193.4073,316.5058,41.99653,347.7998,631.5001,30.45288,241.1169,426.9692,7.183885,57.22121,84.19707,268.3879,1780.63,2883.884,59.41427,431.0099,757.4111,14.479,123.6433,245.3488
1-456471,193.474716186523,28.1866207122803,0.0256367,9.565934,83.45289,111.0635,27.41194,189.8427,240.9157,41.99659,340.9397,450.0976,30.45292,236.4993,312.2435,7.183887,55.73235,71.33149,268.3883,1750.126,2239.746,59.41517,423.2622,554.4473,14.47736,121.8706,161.4258
1-197186,213.715301513672,50.4023246765137,0.074555,25.5915,119.269,234.2175,13.74399,53.96368,38.45945,10.53979,58.28788,57.4481,-1.592315,42.93209,149.2935,14.00685,44.51807,106.0138,26.92275,138.6878,286.2653,0.01402715,10.36253,20.21184,-4.785439,-8.358589,22.13445
1-197186,213.715301513672,50.4023246765137,0.074555,25.59083,103.6023,105.7927,13.74318,48.80063,48.99561,10.54042,49.7954,50.52522,-1.592628,33.12803,34.82007,14.00711,37.49707,38.41679,26.92465,112.523,116.3103,0.01234512,7.272917,7.869913,-4.786307,-10.92256,-10.5215
1-576470,213.970367431641,50.3237991333008,0.0739611,4.603549,47.44103,72.73315,-0.8151412,-3.936462,-23.2111,1.757808,8.689771,-0.8538702,0.7209478,18.41387,13.30227,1.279653,-12.04234,-20.50069,1.769534,17.24239,20.97825,-2.13544,-2.453807,-6.41467,-2.538227,-4.607936,34.27248
1-576470,213.970367431641,50.3237991333008,0.0739611,4.675555,19.53563,19.6738,-0.8477218,-0.5750608,-0.7250689,1.827478,4.913668,4.835694,0.693072,1.307738,1.205735,1.372299,-4.92427,-5.034025,1.815035,6.387789,6.430119,-2.135899,-3.344044,-3.322624,-2.638781,-15.01585,-14.77833
1-245736,216.197418212891,52.088436126709,0.0451233,18.91666,235.7169,723.5447,21.24408,170.1973,319.692,36.38334,375.4066,785.5035,26.22936,266.4834,573.3149,8.003685,67.98836,143.0467,184.9199,1764.945,3596.75,47.14655,447.5572,960.7025,12.2359,116.1092,279.6804
1-245736,216.197418212891,52.088436126709,0.0451233,18.91666,234.5561,379.1601,21.24407,169.5087,217.6018,36.38334,373.5657,503.7479,26.22936,265.1213,357.699,8.003685,67.5123,92.713,184.9197,1757.496,2362.636,47.14588,445.7608,609.03,12.23557,115.492,156.7585
1-197264,215.056045532227,51.7225608825684,0.0654124,3.429839,25.0069,58.55545,10.83596,43.41994,46.24313,12.65466,54.07452,75.28596,7.685877,38.89881,62.98783,5.361354,29.83964,41.30556,40.99114,189.6429,277.7199,-0.3702835,-0.05093285,-21.82683,-2.181928,-9.783202,8.72704
