mangaid,objra,objdec,z,emline_sflux_cen_oiii_5008,emline_sflux_1re_oiii_5008,emline_sflux_tot_oiii_5008,emline_sflux_cen_nii_6549,emline_sflux_1re_nii_6549,emline_sflux_tot_nii_6549,emline_sflux_cen_sii_6718,emline_sflux_1re_sii_6718,emline_sflux_tot_sii_6718,emline_sflux_cen_sii_6732,emline_sflux_1re_sii_6732,emline_sflux_tot_sii_6732,emline_sflux_cen_oi_6302,emline_sflux_1re_oi_6302,emline_sflux_tot_oi_6302,emline_sflux_cen_ha_6564,emline_sflux_1re_ha_6564,emline_sflux_tot_ha_6564,emline_sflux_cen_hb_4862,emline_sflux_1re_hb_4862,emline_sflux_tot_hb_4862,emline_sflux_cen_hdel_4102,emline_sflux_1re_hdel_4102,emline_sflux_tot_hdel_4102
1-48157,133.37109375,57.5984268188477,0.0392074,38.24068,273.8889,576.0097,16.94947,84.38675,152.4827,39.653,227.7361,462.7014,28.29213,158.7701,310.6813,6.845381,43.54029,98.81615,162.1695,968.2791,1904.091,42.38327,267.6986,538.5283,12.31881,56.71313,101.6093
1-48157,133.37109375,57.5984268188477,0.0392074,38.24068,250.2329,411.1863,16.94952,78.37074,114.4371,39.65302,209.2624,326.2172,28.29212,146.6508,227.5976,6.845376,38.76632,66.29457,162.1696,891.791,1378.741,42.3836,246.4691,387.9734,12.31763,51.11149,69.9
1-48188,133.685668945313,57.4802513122559,0.0408108,6.032674,34.1403,192.951,2.257536,22.64379,75.49507,9.561117,68.42369,237.6976,5.534843,44.49592,160.3043,1.579613,16.6208,38.75344,25.0244,222.2083,788.698,9.67797,75.45597,256.0023,1.093953,8.769832,12.25785
1-48188,133.685668945313,57.4802513122559,0.0408108,1.255285,2.348994,3.09736,0.57379,1.318909,1.576082,2.091334,4.362926,5.170488,1.160912,2.674904,3.221728,0.4187405,1.084738,1.205208,5.454563,12.90008,15.5914,2.100029,4.676456,5.571885,0.1365591,0.7588682,0.8182241
1-55648,136.017166137695,57.0923309326172,0.0462094,6.744556,78.72328,557.1756,13.97941,91.77643,209.58,16.09708,130.212,380.6325,11.12063,95.02425,271.2899,2.80585,33.65935,94.40111,94.74142,686.5377,1838.555,17.45938,149.2673,490.2822,5.558631,36.8344,127.8088
1-55648,136.017166137695,57.0923309326172,0.0462094,6.744476,50.94463,73.0034,13.97945,69.15479,77.53568,16.0971,92.23426,108.7805,11.12064,66.43581,77.97092,2.805855,24.94695,28.79787,94.74159,500.9165,578.6129,17.45916,105.4224,125.7984,5.558173,24.73426,30.52073
1-55616,133.989959716797,57.6779670715332,0.0141215,10.63928,407.8815,543.913,22.14807,414.7643,533.2339,37.88741,779.5847,1041.326,25.68339,550.6824,763.4362,9.245705,157.1577,224.6664,141.5943,3280.59,4080.851,24.07299,703.6548,957.9288,8.084487,159.0327,193.1032
1-55616,133.989959716797,57.6779670715332,0.0141215,10.63917,358.881,378.8349,22.14812,377.3204,392.2875,37.88744,699.7219,733.4296,25.68339,493.4472,518.8708,9.24571,138.4576,146.6182,141.5945,2983.527,3105.573,24.07224,628.8281,662.1526,8.084899,144.8915,149.0857
1-55784,136.751373291016,57.4514350891113,0.0462349,11.45616,144.3527,918.7269,27.06384,204.6703,452.8559,33.96074,311.835,827.0222,23.29969,219.1245,581.8851,3.528275,49.15932,150.5345,225.9613,1667.136,4153.071,50.12808,418.4798,1149.664,12.36591,101.2429,292.9716
1-55784,136.751373291016,57.4514350891113,0.0462349,11.45622,144.3526,286.3722,27.06391,204.6703,279.2791,33.96076,311.8349,458.5685,23.29969,219.1245,322.2457,3.528284,49.15931,75.12376,225.9612,1667.136,2362.834,50.12845,418.4793,612.5079,12.36579,101.2453,152.5563
1-55567,133.330032348633,57.0411567687988,0.0257497,10.37883,19.0208,45.36935,22.68651,39.07832,88.52261,34.44149,60.43839,137.238,21.60222,38.32312,85.68694,5.247058,9.517111,8.631267,118.8955,205.1128,413.551,25.99421,43.82624,93.01509,7.055854,12.51559,13.82004
1-55567,133.330032348633,57.0411567687988,0.0257497,10.07861,17.80891,24.10239,22.00532,36.3996,47.37386,33.2372,55.75229,73.89391,20.84735,35.2143,46.47228,5.070577,8.929026,11.09131,115.1216,190.279,240.3711,25.05973,40.38408,51.78029,6.787415,11.37774,13.15909
1-48201,134.193923950195,56.7867469787598,0.0253909,8.054865,31.29842,55.81005,4.498921,13.50704,14.973,-5.806869,-3.983368,-4.533905,4.569309,9.470246,13.46287,6.233286,19.69155,30.07468,4.091868,18.30995,31.99404,-1.10506,-6.665546,-13.56933,-0.3526881,-1.6454,0.83241
1-48201,134.193923950195,56.7867469787598,0.0253909,9.100276,37.67746,55.27087,3.681314,13.51384,14.09813,-4.577815,-2.779835,-3.498534,2.62365,7.405082,10.97444,7.464629,20.34877,28.30824,3.804893,17.60011,28.71832,-1.801612,-8.593458,-15.30297,1.48564,0.5617726,2.369544
1-48111,132.46565246582,57.143726348877,0.0394191,0.01537943,0.6884814,-2.502163,1.313388,0.6610309,-0.3481771,1.345183,-0.1669376,0.713168,3.690665,4.368831,9.382781,0.3087019,0.6315375,14.89067,2.361392,1.937122,12.08226,-2.037207,-2.707055,-4.897625,-0.5996904,-1.911097,-12.91784
1-48111,132.46565246582,57.143726348877,0.0394191,-0.2494562,0.4123057,-0.04085188,1.410111,0.8096801,-0.1539891,1.314109,-0.02396351,-1.214523,3.603545,4.453717,6.245987,0.2219303,0.6126122,4.294976,2.481317,2.0376,3.663877,-2.079398,-2.973106,-2.913668,-0.4010845,-1.793541,-5.214577
1-48136,132.91276550293,57.107421875,0.0256063,100.6574,302.3441,342.9954,217.676,609.5493,680.238,275.1578,783.1485,865.2399,213.3012,590.6203,649.801,18.9488,71.17923,71.42155,1471.4,3849.42,4119.891,364.1096,1028.332,1094.055,86.50668,247.6537,274.2207
1-48136,132.91276550293,57.107421875,0.0256063,100.6574,302.2785,311.7142,217.676,609.1118,623.8929,275.1577,782.5924,800.9042,213.3014,590.2584,603.2766,18.94879,71.23682,71.8857,1471.399,3847.053,3910.789,364.1086,1027.76,1044.107,86.50627,247.5885,252.2087
1-55612,134.591491699219,57.6849670410156,0.0405528,78.31982,147.9818,432.4164,35.16217,62.83607,131.2783,54.70202,105.4286,281.3155,40.46332,77.25741,194.9144,10.26205,18.66045,60.53194,227.5762,440.4866,1155.117,55.01429,109.5074,313.1273,12.81518,26.02301,66.04086
1-55612,134.591491699219,57.6849670410156,0.0405528,78.31981,147.9818,219.82,35.16213,62.8361,86.12127,54.702,105.4286,154.8648,40.46335,77.2575,111.8358,10.26203,18.66045,28.5518,227.5759,440.4856,643.7305,55.014,109.5076,164.7073,12.8137,26.02103,38.91138
1-48223,134.910461425781,56.8788948059082,0.0307813,22.91203,95.4347,135.0777,20.66513,69.77603,111.8675,19.70621,68.51975,143.1723,20.01688,53.30175,105.9275,-1.561397,-8.463841,7.155986,30.03975,162.7183,392.2162,-0.007074192,22.70115,76.4461,-6.995954,-15.79613,-10.72084
1-48223,134.910461425781,56.8788948059082,0.0307813,22.91168,95.43433,116.8393,20.66464,69.77634,97.47438,19.70639,68.51936,109.7578,20.01674,53.30141,79.56881,-1.561343,-8.463581,-2.509775,30.04126,162.7158,300.111,-0.007815599,22.70102,51.37426,-6.996844,-15.79686,-7.130481
1-48116,132.653991699219,57.3596687316895,0.0261046,535.225,1475.491,1741.616,215.5099,706.5865,1105.993,152.4753,630.2863,1137.452,124.5962,474.2882,814.9833,50.41688,182.0064,318.0363,741.015,2873.192,5319.589,150.7792,623.0933,1242.428,33.70362,138.683,304.9416
1-48116,132.653991699219,57.3596687316895,0.0261046,535.2257,1475.493,1645.549,215.5097,706.5862,977.5955,152.4753,630.2863,966.0048,124.5962,474.2884,700.8869,50.41687,182.0063,259.4604,741.0148,2873.19,4583.226,150.7817,623.0995,1041.126,33.70293,138.6772,243.6775
1-48208,134.008117675781,57.3909645080566,0.0406264,23.32693,109.7484,145.3409,9.509613,48.74517,89.88,9.337981,57.18487,112.8734,19.71079,60.61111,97.01302,2.112512,-3.027394,-48.2356,14.41983,46.88272,33.48099,-0.09988507,2.98863,17.45817,-8.083653,-34.07827,-89.92974
1-48208,134.008117675781,57.3909645080566,0.0406264,23.32567,105.5505,108.7178,9.508234,47.33479,49.77598,9.340773,53.29735,58.06281,19.70985,58.35214,61.46777,2.112474,-1.181224,-4.706137,14.42041,45.8201,45.67898,-0.1006673,3.429163,3.981253,-8.081048,-33.95404,-38.25521
1-55529,136.623718261719,56.7963943481445,0.0672827,41.56408,192.0971,261.608,32.04099,123.0809,164.2641,34.3218,116.3573,152.1225,23.89965,81.95928,103.8513,20.17984,34.47747,50.22857,51.55576,185.1027,233.6604,-1.91873,-14.51335,-34.74973,-7.92008,-49.77341,-71.09123
1-55529,136.623718261719,56.7963943481445,0.0672827,41.56448,188.101,196.8125,32.0413,120.7907,125.3954,34.32175,114.1539,118.5931,23.89959,79.18995,81.41779,20.17961,33.63527,34.35734,51.55556,182.3799,187.3024,-1.918888,-13.45605,-14.20023,-7.919981,-47.39997,-48.0465
1-48189,133.87809753418,57.5645446777344,0.0400858,58.79589,245.5299,575.6867,30.48324,117.4003,201.7119,55.89541,269.7668,558.4829,37.58025,178.905,384.8355,10.23591,51.16989,124.2271,296.5658,1197.788,2333.751,85.54711,341.2169,693.6293,16.4882,62.1779,125.85
1-48189,133.87809753418,57.5645446777344,0.0400858,58.79591,219.3009,281.536,30.48323,105.7944,123.6498,55.89541,238.1583,290.2303,37.58026,157.1487,193.1438,10.2359,44.31404,55.79929,296.5657,1079.841,1307.274,85.54749,307.7409,371.3812,16.48904,56.36155,68.91428
1-55552,135.818206787109,56.6253852844238,0.0804568,13.79382,53.54415,90.72884,8.306716,34.76403,66.05757,14.53856,53.87523,94.54264,9.47947,36.86334,41.52614,5.062593,15.33158,46.59288,17.62248,70.54184,118.2116,1.722972,10.9929,27.57824,-2.60347,-11.00945,-17.81874
1-55552,135.818206787109,56.6253852844238,0.0804568,13.79421,43.08208,44.59261,8.306808,28.05009,29.14047,14.53856,43.11914,44.70836,9.479518,30.90616,31.41751,5.062449,12.38612,13.15834,17.62232,59.0545,60.93152,1.723369,7.512929,7.931419,-2.60355,-9.025656,-8.685631
12-98126,230.507461547852,43.532341003418,0.020478,-11.49867,-2.371449,8.260557,10.59706,41.46228,63.95214,2.368683,4.137724,-3.693475,0.09636486,3.596519,-2.884512,-0.6768165,0.8250413,0.8699696,31.45347,71.17159,77.48566,3.127975,13.19542,50.72708,-4.479366,-24.59668,-49.1888
12-98126,230.507461547852,43.532341003418,0.020478,-9.126112,2.364667,14.4389,10.95278,42.06881,53.67895,2.105232,3.617966,0.8870634,-0.1435812,3.464271,2.525436,-0.7854975,0.7891589,3.794026,31.14704,71.55434,79.52213,3.142178,13.04113,31.94197,-4.274331,-24.00417,-38.59188
12-84674,231.360702514648,43.1698951721191,0.0575241,7.236433,70.75275,305.132,7.369267,100.9812,240.0506,6.853786,110.7809,363.832,4.310452,82.508,260.7444,-0.3191558,12.63462,48.91602,53.05441,770.0673,2147.089,14.68451,190.6316,569.66,1.666945,37.02475,170.7949
12-84674,231.360702514648,43.1698951721191,0.0575241,7.236483,70.43282,96.07447,7.369093,100.4507,135.0613,6.853669,110.2775,159.9098,4.310455,82.13052,117.2614,-0.3191556,12.48183,19.80133,53.05406,766.3631,1045.318,14.68437,189.5469,261.3902,1.667601,36.985,51.3975
12-193481,229.525573730469,42.7458419799805,0.0402719,767.891,4129.551,5114.776,1073.141,4195.02,4891.88,841.8008,4199.517,5064.71,678.2263,3295.957,3919.673,209.3234,1119.874,1413.023,5905.163,24723.89,27924.34,863.3875,4271.474,5038.296,132.0357,729.3862,830.6313
12-193481,229.525573730469,42.7458419799805,0.0402719,767.8945,4129.557,4675.774,1073.135,4195.014,4629.396,841.7994,4199.513,4754.525,678.2259,3295.956,3696.828,209.323,1119.874,1294.853,5905.159,24723.87,26816.69,863.4135,4271.538,4754.938,132.0374,729.3842,817.5094
12-84731,232.461059570313,42.6289672851563,0.0187385,38.18546,456.6175,624.1667,99.65875,492.2861,532.3596,148.4885,1009.806,1189.407,114.8889,723.2701,850.7665,19.87197,188.8612,233.5657,857.1485,4426.748,5019.22,162.8552,1015.361,1192.681,29.60148,189.8771,194.369
12-84731,232.461059570313,42.6289672851563,0.0187385,38.18536,371.8138,383.3691,99.65879,449.0518,452.5257,148.4885,883.6386,897.0258,114.8889,637.6208,646.5779,19.87197,162.0911,165.3021,857.1489,3972.107,4018.492,162.8544,892.386,905.7646,29.60505,166.403,167.8762
12-84627,230.153015136719,41.9604377746582,0.0644735,2.696022,67.71175,451.6547,8.26586,102.2752,220.8348,12.16732,173.1328,475.8222,8.425298,118.5569,325.8706,5.175129,45.5094,130.4202,67.27682,825.9309,2111.484,12.96956,178.8363,551.476,4.684706,77.14946,273.4485
12-84627,230.153015136719,41.9604377746582,0.0644735,2.696022,55.30035,93.46886,8.265882,90.91465,107.7057,12.16733,149.4565,187.0445,8.425298,102.353,129.0148,5.175129,40.20108,48.58259,67.27684,728.9987,897.0014,12.96956,154.8714,201.7481,4.684463,64.90173,84.163
12-84620,231.042602539063,42.0687217712402,0.0187596,121.7841,428.6166,554.454,48.37413,170.003,219.5552,112.7093,407.9542,539.2712,80.10415,285.0078,381.7233,18.111,60.78617,82.82533,498.7249,1769.997,2248.299,149.4086,546.8032,693.636,35.60102,119.8748,151.2447
12-84620,231.042602539063,42.0687217712402,0.0187596,121.7839,428.6164,511.6313,48.37423,170.0033,202.8136,112.7093,407.9543,496.1705,80.10422,285.008,348.5482,18.111,60.78617,75.65955,498.7246,1769.997,2104.854,149.4081,546.8026,650.236,35.60088,119.8754,144.8588
12-49536,231.991104125977,42.9712066650391,0.0189259,5.092738,33.48078,44.9089,1.779467,5.897867,5.873898,-3.438765,-3.095186,-1.498572,-0.920952,-5.721885,-8.467442,-11.83012,-19.30638,-21.89008,3.384733,15.79759,22.82812,3.144149,17.60188,29.28875,-6.729581,-13.50728,-16.67146
12-49536,231.991104125977,42.9712066650391,0.0189259,5.153855,36.17956,46.22453,1.667558,6.049397,6.430212,-3.352593,-3.417758,-4.074217,-0.8782528,-5.754404,-7.959442,-12.15604,-19.87563,-21.2077,3.33142,15.27922,20.67991,3.097827,17.48793,24.44746,-6.912738,-12.52788,-15.33516
12-193534,230.574371337891,42.2870216369629,0.0178955,47.63626,451.0805,1078.435,8.891162,62.37551,128.5491,40.67529,253.4089,499.8742,27.91039,172.8261,336.0551,8.227459,46.85675,88.96363,142.9647,1021.049,2118.744,47.75565,334.4936,701.0881,11.05134,78.48174,150.0298
12-193534,230.574371337891,42.2870216369629,0.0178955,47.63622,451.0806,700.5942,8.891151,62.37552,86.68858,40.67529,253.4088,346.8936,27.91039,172.8261,236.6392,8.227458,46.85676,63.67273,142.9647,1021.049,1464.883,47.75533,334.493,480.5639,11.05154,78.48236,109.5068
12-180451,232.167343139648,43.0226821899414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-180451,232.167343139648,43.0226821899414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-84617,231.478759765625,41.9097709655762,0.0226546,136.8273,323.3242,660.3841,14.30065,38.1373,75.79105,44.28046,116.3835,254.2706,37.20248,94.54955,216.8298,8.272735,22.2525,61.25163,242.6957,596.7806,1266.951,79.67603,194.4514,440.2998,17.58278,46.85575,100.4573
12-84617,231.478759765625,41.9097709655762,0.0226546,136.8273,323.3241,436.553,14.30079,38.13749,52.33222,44.28051,116.3836,165.4466,37.2025,94.54959,134.7881,8.272751,22.25253,34.53341,242.696,596.7806,825.1851,79.67561,194.4507,273.4453,17.5829,46.85625,66.82043
12-84726,231.57731628418,41.2946319580078,0.0309125,14.16576,108.6251,305.6028,3.076798,16.92039,28.1877,10.83349,61.83086,126.6155,7.014667,39.92856,69.4658,0.4840043,4.223248,15.21587,41.34739,267.7802,657.0463,14.06871,88.74893,206.9628,1.946945,24.10152,53.26501
12-84726,231.57731628418,41.2946319580078,0.0309125,14.16579,42.42377,45.80001,3.076776,7.604466,7.817541,10.83348,26.77061,27.97421,7.014678,17.27856,17.84912,0.4839995,1.675028,1.905088,41.34725,110.5317,117.5918,14.06896,37.60133,39.86642,1.94543,8.367396,9.073133
12-180432,231.606704711914,42.3540267944336,0.0280161,39.4755,458.1248,898.8617,128.934,1147.772,1683.926,139.9248,1515.54,2398.109,96.80328,1054.474,1658.002,28.54967,281.4034,520.9167,1096.612,9458.973,13441.29,216.0024,1994.879,2964.382,42.93304,407.8014,611.2099
12-180432,231.606704711914,42.3540267944336,0.0280161,39.47625,458.1262,844.0308,128.9332,1147.771,1635.349,139.9245,1515.54,2310.671,96.80322,1054.474,1604.48,28.54963,281.4033,487.8147,1096.61,9458.973,13129.76,216.0077,1994.892,2885.611,42.93159,407.7993,595.3815
12-84665,230.233673095703,42.7755432128906,0.0183422,96.44009,1264.218,2718.615,31.51464,273.2043,460.6863,89.16256,853.9194,1626.833,62.89533,596.7407,1154.97,12.04716,137.7223,297.3162,372.9568,3850.813,7195.611,111.1164,1137.206,2156.183,24.69102,253.7537,475.7969
12-84665,230.233673095703,42.7755432128906,0.0183422,96.44023,1264.218,2442.328,31.51465,273.2048,424.0765,89.16257,853.9196,1446.591,62.89529,596.7409,1015.422,12.04716,137.7225,252.3448,372.957,3850.811,6534.057,111.1177,1137.199,1947.581,24.69451,253.7629,436.3485
12-84677,232.158065795898,42.4420166015625,0.075096,32.70839,123.4235,176.927,26.67454,86.20324,116.8271,37.73485,135.6554,225.6343,25.61268,64.92363,-8.832927,19.01929,53.75158,86.33906,53.77604,184.463,295.1814,12.18663,23.72168,32.78916,-4.245999,-27.92866,-43.56575
12-84677,232.158065795898,42.4420166015625,0.075096,32.70835,123.2558,141.0823,26.67526,86.09928,95.40579,37.73527,135.5416,155.9888,25.61222,65.09717,59.00734,19.01941,53.7152,61.71399,53.77566,184.2536,213.8373,12.18667,23.77053,26.1774,-4.245745,-27.85288,-27.83739
12-84660,229.246841430664,42.598258972168,0.0404705,79.78958,591.5153,1484.351,91.02453,568.2562,875.5974,80.03693,742.0947,1438.533,65.86772,541.0099,1026.016,16.48945,116.1775,235.0347,457.0821,4103.745,7398.71,95.72295,1011.598,1987.522,17.29729,235.6337,533.882
12-84660,229.246841430664,42.598258972168,0.0404705,79.78959,587.0881,1075.194,91.02448,565.5115,767.653,80.0369,737.5425,1137.318,65.86774,537.9035,815.7557,16.48944,115.1793,176.5433,457.0819,4082.438,6087.558,95.72226,1005.638,1577.008,17.29913,234.5141,391.0555
12-84679,232.013870239258,42.8136711120605,0.091575,3.557929,1.832416,-64.04749,5.875615,18.89333,90.79931,-1.194408,4.219508,-11.18768,-1.273162,1.12576,-9.918971,4.154881,5.064341,14.24979,4.446902,14.62218,77.95506,-3.263808,-3.980339,1.74063,-5.166598,-19.59956,-18.38659
12-84679,232.013870239258,42.8136711120605,0.091575,3.639471,2.239035,1.005144,5.88803,17.61335,19.64079,-1.306651,5.449111,4.941411,-0.5596694,1.838731,1.358744,4.918838,5.974028,6.360199,4.528248,13.82336,15.92487,-3.271025,-4.364748,-3.549362,-5.359083,-18.48002,-18.48311
12-192120,204.579513549805,26.1984252929688,0.0612091,23.79329,110.5877,138.4682,9.335059,37.91448,32.59217,2.687411,87.06013,135.779,9.824399,78.62534,113.6486,3.185537,35.26479,56.94067,20.17775,311.5419,490.3712,-2.129459,54.79958,98.06989,0.307252,-10.42094,-20.68756
12-192120,204.579513549805,26.1984252929688,0.0612091,23.79274,64.60848,64.80081,9.337249,27.32512,27.3083,2.686392,21.95602,22.2988,9.82457,29.47357,29.71307,3.186019,10.6436,10.80681,20.17636,64.40923,65.73076,-2.129412,0.1517141,0.4838535,0.3069044,-5.600608,-5.5767
12-129612,205.074813842773,26.3495635986328,0.0284013,14.04036,177.9716,753.0835,27.2568,333.1977,604.9626,26.42493,428.1039,941.2553,18.35203,297.6578,638.9376,11.91035,115.996,228.1488,147.0261,2366.69,4772.864,24.36133,432.8903,1058.683,4.68231,98.4996,240.7682
12-129612,205.074813842773,26.3495635986328,0.0284013,14.0406,177.9723,361.3851,27.25628,333.1964,463.6669,26.4247,428.1036,652.2442,18.35184,297.6575,452.5303,11.91027,115.9959,164.752,147.025,2366.689,3446.075,24.36128,432.8904,697.3105,4.683379,98.50026,162.2616
12-129646,206.470672607422,26.7751560211182,0.0298759,7.336183,216.3104,893.2451,19.39072,380.1865,720.8222,20.51688,651.1127,1465.067,14.66603,454.125,1039.522,4.081605,82.43105,184.9048,140.9309,2730.873,5836.632,31.70949,687.0957,1666.678,7.138522,186.1962,429.64
12-129646,206.470672607422,26.7751560211182,0.0298759,7.335997,216.3101,553.1129,19.39075,380.187,583.5497,20.51686,651.1099,1103.178,14.66607,454.1271,776.7363,4.081614,82.43092,143.6104,140.9308,2730.872,4598.698,31.70915,687.0977,1250.286,7.138091,186.1928,318.2855
12-129618,205.438400268555,27.004753112793,0.0289385,50.01498,350.2183,634.167,35.20144,631.3374,1073.512,34.41695,635.6314,1205.019,25.18498,460.6906,863.1359,11.64292,172.3615,349.2198,80.28924,4268.406,7437.62,21.58716,1023.858,1865.256,3.755473,228.2362,410.3917
12-129618,205.438400268555,27.004753112793,0.0289385,50.0153,350.2177,528.1187,35.20043,631.3373,966.6644,34.41685,635.6317,1006.09,25.18484,460.6906,720.0426,11.64301,172.3615,297.2709,80.28979,4268.402,6635.565,21.58784,1023.856,1637.302,3.755594,228.232,362.3333
12-129629,205.609252929688,26.5368709564209,0.0762428,7.826708,39.90125,84.71821,6.412676,44.50286,105.7248,6.026109,60.48967,177.8912,5.293918,21.81082,-4.869146,2.181068,8.112621,36.76799,13.2478,222.725,625.4142,0.7847466,47.45826,164.6066,-0.9976853,3.536362,32.7322
12-129629,205.609252929688,26.5368709564209,0.0762428,7.826274,23.62538,24.35732,6.413087,19.97395,20.50832,6.026028,24.53946,25.44162,5.293823,15.84232,15.75104,2.18087,4.803354,5.100241,13.24734,74.96584,79.01029,0.7842726,12.65043,14.7495,-0.9972944,-1.06737,0.1526312
12-110746,205.539978027344,27.5703735351563,0.0288023,3.725777,4.726437,21.24054,-16.94782,-22.19017,-27.95135,-14.84002,-18.11041,17.68425,2.217908,5.627742,59.77339,7.009678,3.492948,-10.89075,1.355253,2.445852,8.585058,-0.685512,-0.6602076,5.204589,-2.248369,-2.183301,13.22445
12-110746,205.539978027344,27.5703735351563,0.0288023,3.930314,4.898412,13.31262,-17.20271,-22.029,-26.75042,-15.42038,-18.46268,-0.7343336,2.571562,5.890011,28.39595,7.038382,3.730614,2.323382,1.313377,2.159756,3.934812,-0.7195359,-0.6771716,2.388878,-2.233939,-2.331565,0.1584329
12-129608,205.044769287109,26.8410415649414,0.0318073,97.1217,136.8382,208.1895,10.4766,16.65546,27.63443,21.84548,35.2443,59.36025,15.2631,23.87821,40.85485,7.039455,11.23311,9.396332,77.17681,114.0619,190.0224,20.24102,29.2094,53.49092,2.289845,3.977758,15.86765
12-129608,205.044769287109,26.8410415649414,0.0318073,97.12148,136.8378,177.2646,10.47677,16.65556,23.17383,21.84548,35.24419,49.84907,15.26313,23.87828,34.21865,7.039447,11.23303,12.34667,77.17647,114.0611,155.2145,20.24046,29.20833,40.76184,2.288997,3.977317,8.535461
12-129446,203.943542480469,26.1017913818359,0.0670065,15.56662,92.59223,167.5808,18.01021,168.6908,343.904,15.49567,162.3203,358.0894,9.643985,105.7402,242.8233,4.267616,42.37525,85.4694,153.2176,1461.283,2738.292,29.03231,306.9651,598.09,2.257843,58.94277,98.75285
12-129446,203.943542480469,26.1017913818359,0.0670065,15.56686,92.59221,141.1184,18.01022,168.6912,289.1625,15.49538,162.32,295.3077,9.644002,105.7404,197.3513,4.267534,42.37517,69.58955,153.2162,1461.281,2373.131,29.03306,306.9655,513.4839,2.257275,58.9407,91.47008
12-192149,205.00798034668,26.9788990020752,0.027546,19.26695,86.41417,191.2716,30.60552,120.9849,209.6955,53.07049,222.9757,414.4792,37.70115,156.9974,297.2038,11.75791,43.74084,79.93998,249.0955,1011.265,1712.646,51.27505,222.4676,401.7581,11.62323,46.99152,80.71599
12-192149,205.00798034668,26.9788990020752,0.027546,19.26697,85.54385,139.6382,30.60546,120.2315,168.2731,53.07043,221.3947,321.9848,37.70116,155.8527,227.4459,11.75791,43.42398,62.1717,249.0948,1005.347,1408.491,51.27506,220.8569,316.9067,11.6232,46.60678,68.45183
12-110756,205.24333190918,27.7262763977051,0.0285104,21.26468,82.23201,137.352,14.03497,58.67804,90.26202,40.67154,163.9248,273.4768,30.75285,117.4664,190.4181,11.70536,42.21735,102.3047,153.0659,607.3683,906.2474,34.00926,133.663,223.0656,9.397859,32.74236,48.76253
12-110756,205.24333190918,27.7262763977051,0.0285104,21.26463,80.47286,102.8248,14.03492,57.51901,69.60359,40.67152,160.7874,203.2329,30.75284,115.2135,143.1975,11.70535,41.25791,59.8063,153.0658,596.0494,725.4532,34.00839,131.0107,165.3546,9.398138,32.31969,39.5163
12-129601,204.586288452148,26.7597427368164,0.030404,10.40077,30.6133,74.52644,32.79656,60.52044,83.55014,24.29736,16.72086,5.96262,24.08101,25.45047,19.88706,7.824225,-25.66052,-50.58054,99.81322,176.4298,216.6884,7.853515,13.98125,-7.10267,-3.664678,-3.041286,3.872999
12-129601,204.586288452148,26.7597427368164,0.030404,10.40234,30.61236,62.48721,32.79582,60.52583,76.99145,24.29727,16.71083,9.701528,24.08041,25.45669,21.86321,7.823868,-25.66783,-44.97224,99.81384,176.428,207.7889,7.854182,13.97885,2.034542,-3.664448,-3.039417,4.19717
12-129434,203.783767700195,25.4954414367676,0.026744,21.38573,113.397,170.1056,6.672103,32.30999,44.13969,21.73118,118.9841,203.555,14.40156,74.79999,123.6169,2.302324,23.70803,64.63303,79.24007,401.2521,587.488,26.88671,136.7163,228.5031,6.16046,30.85873,38.3722
12-129434,203.783767700195,25.4954414367676,0.026744,21.38573,77.46112,80.56052,6.672114,22.42197,23.0535,21.73119,78.57476,82.30942,14.40155,50.34145,52.51764,2.302327,13.80737,15.33722,79.24018,274.825,284.2861,26.88671,91.84025,95.99655,6.160564,20.73669,21.2446
12-192116,204.51286315918,26.3382129669189,0.0261462,2159.566,6178.983,7002.338,38.306,148.5718,174.6367,170.4001,773.1143,1013.027,123.6973,557.7313,705.2407,24.31982,134.0759,176.0625,1746.322,5815.161,6935.492,559.8681,1903.148,2286.711,142.6004,497.6506,580.3398
12-192116,204.51286315918,26.3382129669189,0.0261462,2159.567,5972.229,6163.845,38.30622,142.6416,149.0769,170.4002,724.3994,772.611,123.6972,522.7354,553.0323,24.31986,122.5213,130.2984,1746.322,5562.464,5804.466,559.8688,1821.646,1902.607,142.6124,475.1609,495.4948
12-129534,204.692733764648,26.4987697601318,0.029503,4.021753,27.70451,62.06466,3.798326,16.80294,32.77613,9.323202,58.1202,101.5718,5.185497,34.90097,65.33767,1.141336,8.584051,5.943706,30.734,177.7692,301.5163,9.474318,55.39999,110.0551,2.760733,14.20231,36.24504
12-129534,204.692733764648,26.4987697601318,0.029503,3.703453,15.65856,17.40367,3.500305,10.41177,11.09159,8.536386,33.72548,35.82398,4.779118,20.76034,21.83061,1.076465,5.016183,4.723838,28.36013,106.0186,111.7636,8.721189,32.20039,34.50671,2.5985,8.192304,8.939266
12-129610,204.884841918945,27.1071472167969,0.0324076,53.85123,229.6622,441.7561,4.539162,18.62234,32.08726,27.66329,119.2305,210.4725,20.04117,89.44971,170.3387,5.01952,24.29664,54.68393,114.113,507.78,949.0812,35.70527,167.101,311.8879,8.181779,34.47197,59.65318
