# ra, dec
      234.873642,       44.648453
      226.431656,       44.404903
      227.405869,       45.134567
      234.292953,       57.576233
      233.968338,       57.902637
      234.960922,       57.821224
      182.793137,       37.515354
      182.871399,       36.788429
      247.331863,       43.863380
      114.782181,       41.394283
      114.374146,       41.737232
      120.660866,       48.539192
      117.541008,       48.478882
      154.492432,       37.181583
      157.182999,       37.091805
      249.471817,       39.249825
      249.557312,       40.146820
      250.668076,       40.169086
      212.057343,       53.883492
      212.612091,       54.619576
      212.955994,       52.816711
      212.259247,       54.556206
      222.394562,       52.967285
      220.853119,       52.614529
      224.414917,       53.006336
      218.268982,       51.522316
      219.042755,       50.518822
      224.289078,       48.633968
      225.605698,       48.877686
      224.615814,       48.492371
      244.390549,       41.688545
      245.865875,       41.706383
      247.718033,       41.286152
      249.557587,       41.931053
      247.048172,       39.821899
      247.462692,       39.766510
      247.336426,       39.820396
      246.932846,       39.743847
      247.419952,       40.686954
      247.764175,       39.838505
      247.185104,       39.473839
      247.616119,       39.561684
      246.073456,       39.211040
      247.097122,       39.570305
      255.029877,       37.839500
      254.997421,       36.029076
      253.793915,       36.906311
      260.746704,       60.559292
      253.946381,       39.310535
      254.564575,       39.391464
      254.829010,       38.866299
      254.044144,       34.836521
      255.677048,       34.059994
      253.677353,       34.728634
      254.054367,       33.590584
      254.194916,       35.048115
      255.307053,       33.513184
      254.309799,       34.024044
      321.054413,        1.118385
      322.306061,       -0.294765
      323.174011,       -0.127840
      322.302155,       -0.621758
      322.305756,       -0.523914
      322.212341,        1.258270
      311.829437,        0.320795
      310.450012,       -0.468316
      310.579224,       -0.925182
      311.658783,        0.339358
      263.050842,       59.941517
      257.957550,       57.110935
      259.682220,       58.135117
      258.845734,       57.411182
      258.820251,       57.329433
      258.656830,       57.305416
      257.957489,       57.589546
      263.920898,       55.471279
      263.173126,       56.117031
      263.439331,       56.708534
      355.825104,        0.442475
      356.537018,        1.030334
      119.380753,       52.682850
      118.266563,       52.743202
      118.176819,       52.025635
      119.237411,       52.666924
      121.054832,       55.397667
      118.370300,       39.299713
      117.602692,       38.469147
      116.388451,       40.190105
      118.184151,       45.949276
      118.359604,       50.228420
      118.625671,       51.121449
      118.925613,       50.172771
      119.920670,       50.839973
      120.547356,       51.734879
      119.997742,       50.096935
      121.834404,       51.131607
      123.506195,       52.752457
      123.191589,       54.139721
      119.601891,       52.768539
      117.547455,       34.415298
      118.344856,       36.274380
      119.117531,       34.752529
      119.182152,       44.856709
      120.700706,       45.034554
      120.715027,       46.157032
      120.890366,       47.892406
      121.334137,       46.716530
      119.623482,       47.653118
      119.520210,       47.305328
      121.147926,       50.708557
      123.070671,       49.377457
      122.510292,       50.720837
      123.738571,       49.458656
      135.236511,       54.954510
      132.595016,       55.378742
      131.491150,       55.136051
      132.037582,       54.309921
      127.489365,       44.940159
      125.724144,       45.718773
      127.178093,       45.742554
      116.647652,       22.416059
      116.649734,       22.297039
       55.539043,       -7.437970
       58.052437,       -6.348945
       58.813713,       -5.344366
      192.788437,       27.406794
      194.060944,       27.506329
      194.557526,       28.182579
      194.872528,       27.850126
      195.523010,       27.297281
      194.007294,       26.756639
      194.109589,       27.727261
      194.790176,       27.867393
      194.769333,       27.910999
      194.631683,       27.673491
      195.289322,       28.033108
      194.511932,       27.978380
      195.358856,       27.885984
      194.199051,       27.420990
      196.263748,       27.537037
      196.562958,       28.712202
      194.149780,       27.718821
      117.397789,       30.416630
      117.175201,       30.171755
      118.378265,       28.314062
      120.814384,       30.796511
      121.969894,       30.596315
      120.699661,       29.469828
      119.330391,       30.491842
      120.067093,       29.471437
      125.603271,       25.509079
      126.535606,       23.739923
      125.227737,       23.729200
      120.087418,       26.613527
      120.033195,       26.706789
      122.433990,       25.881607
      120.203148,       26.986273
      122.896202,       27.305977
      124.003311,       27.075895
      123.134735,       26.893635
      122.907425,       27.538223
      157.693741,       36.954620
      157.921310,       36.023361
      147.864456,       35.019505
      150.643127,       34.935848
      148.421112,       35.701878
      173.981888,       48.021458
      173.911240,       47.515518
      173.701233,       46.989948
      174.128113,       47.817226
      169.287125,       48.538754
      170.355026,       46.289227
      172.886688,       49.857502
      171.102661,       51.234940
      170.058853,       50.025318
      168.947800,       50.401634
      171.090866,       50.943665
      170.516434,       50.815121
      164.971100,       50.015202
      164.889008,       49.985462
      166.487320,       49.751007
      195.104919,       27.552250
      195.294617,       27.802885
      196.285278,       27.512812
      194.874832,       27.956450
      194.807114,       27.402544
      193.998993,       27.955080
      195.026215,       27.775764
      204.683838,       26.328539
      205.321152,       26.272030
      205.235764,       26.486719
      205.177811,       26.008688
      205.635849,       26.232733
      206.085724,       26.084192
      204.912048,       27.404594
      204.631699,       26.105459
      118.082985,       34.574966
      250.793488,       42.192795
      247.919083,       42.448746
      250.453201,       41.818737
      251.335938,       42.757790
      241.341766,       42.488312
      244.390549,       41.688545
      241.823395,       41.403603
      226.211853,       42.734478
      225.104202,       43.287010
      225.236221,       41.566265
      225.203491,       41.160767
      226.127151,       43.069420
      203.190094,       26.580376
      203.425613,       25.748772
      202.086044,       27.026073
      203.830215,       26.424780
      205.438400,       27.004738
      205.871368,       26.493570
      204.353485,       27.419218
      204.859589,       31.208000
      204.554352,       32.822845
      135.837143,       28.696045
      177.440353,       50.527016
      173.537567,       49.254562
      172.929047,       49.283237
      176.129684,       53.682720
      178.377426,       52.689449
      171.657257,       51.573040
      173.487350,       51.249779
      172.318390,       50.953362
      173.037842,       50.765533
      164.863953,       46.122391
      165.047455,       45.737827
      165.391525,       45.653870
      166.689224,       45.907253
      165.910110,       45.179966
      177.806137,       55.116432
      177.844528,       53.444191
      176.508026,       55.419621
      172.492081,       52.183121
      173.412872,       52.674587
      173.898575,       51.758518
      172.492081,       52.183121
      170.166473,       50.827286
      170.634171,       51.533142
      170.859802,       51.719017
      172.443008,       51.245708
      164.986206,       50.123756
      165.014053,       50.031406
      164.551529,       50.213455
      164.793594,       50.263748
      170.013107,       54.536789
      169.010849,       53.823620
      171.279434,       54.186146
      222.810074,       30.692245
      223.612366,       30.908510
      221.919220,       33.127750
      222.453766,       33.857456
      221.403473,       34.310886
      224.024521,       34.481831
      245.824997,       30.263161
      246.050766,       30.162262
      246.611023,       29.014973
      246.669968,       27.777546
      247.361267,       29.541126
      249.074524,       44.135715
      251.458496,       43.866474
      249.258209,       44.335606
      249.318420,       44.418228
      245.346649,       32.349014
      242.975067,       30.332783
      243.615784,       29.973833
      243.375305,       29.143391
      247.216949,       42.812012
      247.579422,       41.102077
      247.114853,       41.161003
      247.476837,       41.604523
      246.855148,       42.679714
      241.150986,       43.879787
      239.736694,       44.764378
      239.974945,       44.708988
      222.981018,       46.748413
      223.922424,       45.540752
      228.308289,       47.102322
      226.436111,       46.788593
      226.802750,       46.308308
      225.200974,       47.663239
      235.447006,       45.556000
      239.113571,       42.101139
      239.974945,       44.708988
      240.347031,       43.085041
      241.150986,       43.879787
      239.102066,       42.395485
      237.903778,       44.226437
      234.802139,       43.961670
      235.901550,       43.913284
      237.409348,       42.034210
      229.734955,       33.364521
      230.483093,       33.515064
      229.138367,       32.243935
      229.473785,       34.656136
      237.450500,       29.171289
      234.245026,       29.808901
      235.283157,       28.891832
      235.319458,       30.177738
      237.056824,       29.914978
      235.809357,       28.356819
      233.186447,       28.063139
      232.158401,       28.333286
      230.610352,       28.997732
      231.151627,       28.775021
      231.100784,       30.277407
      229.831451,       30.716537
      229.277481,       31.348166
      228.023239,       30.839836
      227.445572,       30.134527
      226.591354,       31.257284
      227.536896,       31.887836
      245.441956,       25.820679
      247.688431,       26.095249
      245.807465,       26.479296
      246.433533,       26.225351
      247.662781,       25.609436
      247.192215,       25.494720
      248.140884,       26.380739
      244.379852,       24.289927
      245.917023,       24.474186
      247.611664,       26.060038
      245.207245,       24.042057
      246.513794,       22.860622
      243.936005,       22.726009
      246.209991,       21.613874
      259.356415,       29.185549
      260.207947,       29.150152
      259.648407,       29.251476
      242.315475,       25.712469
      241.202667,       26.413353
      243.356598,       21.909422
      119.617126,       37.786625
      118.654434,       39.179928
      118.382019,       38.733295
      118.774529,       40.041298
      121.272408,       40.174564
      121.529617,       39.342411
      119.486336,       39.993366
      120.704803,       40.457409
      121.007599,       38.488209
      122.527405,       38.017090
      119.799042,       31.807875
      119.738335,       32.612251
      120.326706,       31.435694
      256.664032,       34.543003
      258.592163,       34.661243
       45.954624,       -1.103750
       46.660255,       -0.509978
       46.294197,       -1.075470
       47.194279,       -0.733117
       47.262753,       -0.913978
       47.320755,       -0.906653
       47.142990,        0.550937
      260.126465,       52.643040
      262.399292,       54.494423
      261.469055,       53.539448
      260.516083,       52.958000
      262.125427,       53.252975
      262.483765,       53.477367
      119.657112,       37.483089
      119.882599,       37.881172
      121.779938,       36.233479
      120.447609,       36.226059
      121.273003,       37.625599
      119.107353,       37.058247
      123.172966,       40.414574
      122.380646,       39.801880
      123.721779,       45.792023
      123.517578,       46.004894
      123.330544,       46.147156
      123.571198,       46.010330
      126.216408,       20.991217
      123.215340,       19.635515
      122.465157,       20.429373
      122.296013,       19.660658
      119.944237,       18.401793
      120.565819,       18.402294
      117.074570,       18.959221
      117.300552,       17.566164
      128.848434,       22.550047
      127.317963,       23.809021
      117.377159,       20.359806
      131.944244,       24.912832
      131.725418,       25.370089
      132.039139,       24.842770
      133.460052,       24.681904
      129.545578,       24.895294
      126.859993,       23.568775
      129.495468,       25.048780
      129.404114,       24.999796
      139.288254,       26.753641
      132.586472,       27.339233
      133.406403,       27.472918
      134.213943,       27.270103
      135.033066,       27.909035
      128.494568,       26.106798
      129.520691,       25.329506
      129.579086,       25.042355
      128.222092,       25.605947
      128.633011,       27.053593
      125.740494,       25.738733
      125.718979,       25.558409
      127.107819,       25.014635
      127.036812,       26.094992
      126.278366,       25.900785
      124.105675,       25.991348
      123.768532,       25.608685
      139.740814,        1.148917
      140.009048,        1.038303
      138.017960,        0.421798
      137.828827,        2.019023
      140.292938,        1.472741
      139.357452,        1.288343
      140.065048,        1.288840
      194.834091,       27.886009
      195.135483,       27.766140
      195.306778,       27.914268
      192.654358,       27.482998
      193.171173,       26.365822
      192.932434,       27.962822
      213.715302,       50.402325
      217.122009,       50.690025
      213.875961,       51.498550
      215.117294,       51.463165
      215.067337,       52.156139
      223.866226,       51.047737
      223.562881,       49.430496
      218.468781,       45.761150
      217.975403,       46.270298
      219.657074,       46.663120
      219.726700,       46.665615
      219.227539,       46.801769
      249.537689,       39.917797
      247.480423,       40.659958
      229.795593,       43.204556
      233.228287,       44.538731
      233.283447,       44.535679
      228.280731,       41.264618
      227.386993,       42.489918
      228.984604,       43.166779
      204.738876,       24.980246
      204.891373,       25.556099
      205.355713,       23.247488
      205.543167,       24.557917
      205.933960,       25.392141
      205.658936,       24.465061
      256.102722,       33.375881
      256.462067,       32.975388
      254.901352,       32.057274
      238.028351,       27.558743
      237.024734,       27.962364
      237.499542,       27.100035
      237.571533,       27.267836
      237.046097,       26.928373
      229.146545,       28.634584
      227.481186,       28.382177
